title,price,image,buyUrl,viewUrl,category,brand,featured,Subcategory
"diamond chains
(80+ styles)",$5.20+,image1524.jpg,https://joyagoo.com/product/?shop_type=taobao&id=819019410981&ref=300004734,https://joyagoo.com/product/?shop_type=taobao&id=819019410981&ref=300004734,Jewelry,Unknown,FALSE,
"diamond rings
(80+ styles)",$6,image1481.jpg,https://joyagoo.com/product/?shop_type=taobao&id=820495821172&ref=300004734,https://joyagoo.com/product/?shop_type=taobao&id=820495821172&ref=300004734,Jewelry,Unknown,FALSE,
"CARTIER GLASSES
(MULTIPLE COLORWAYS!)",$12.60,image1459.jpg,https://joyagoo.com/product/?shop_type=taobao&id=644408962735&ref=300004734,https://joyagoo.com/product/?shop_type=taobao&id=644408962735&ref=300004734,Accessories,Unknown,FALSE,Eyewear
"nike bags
(multiple colorways)",$14.50,image1445.jpg,https://joyagoo.com/product/?shop_type=weidian&id=7284216875&ref=300004734,https://joyagoo.com/product/?shop_type=weidian&id=7284216875&ref=300004734,Bags & Backpacks,Nike,FALSE,
LOUIS VUITTON,$28,image1450.jpg,https://joyagoo.com/product/?shop_type=weidian&id=7273657445&ref=300004734,https://joyagoo.com/product/?shop_type=weidian&id=7273657445&ref=300004734,Accessories,Louis Vuitton,FALSE,Uncategorized
*VARIOUS* CHROME HEARTS RINGS,$6,image1447.jpg,https://joyagoo.com/product/?shop_type=weidian&id=7249896218&ref=300004734,https://joyagoo.com/product/?shop_type=weidian&id=7249896218&ref=300004734,Jewelry,Chrome Hearts,FALSE,Jewelry
SP5DER BEANIES,$16,image194.jpg,https://joyagoo.com/product/?shop_type=weidian&id=7321081403&ref=300004734,https://joyagoo.com/product/?shop_type=weidian&id=7321081403&ref=300004734,Accessories,SP5DER,FALSE,Fashion Accessories
STUSSY BEANIES,$5,image199.jpg,https://joyagoo.com/product/?shop_type=weidian&id=7322193624&ref=300004734,https://joyagoo.com/product/?shop_type=weidian&id=7322193624&ref=300004734,Accessories,STUSSY,FALSE,Fashion Accessories
corteiz beanies,$12,image1441.jpg,https://joyagoo.com/product/?shop_type=weidian&id=7321106883&ref=300004734,https://joyagoo.com/product/?shop_type=weidian&id=7321106883&ref=300004734,Accessories,Corteiz,FALSE,Fashion Accessories
stone island beanies,$10,image1454.jpg,https://joyagoo.com/product/?shop_type=weidian&id=7321199623&ref=300004734,https://joyagoo.com/product/?shop_type=weidian&id=7321199623&ref=300004734,Accessories,STONE ISLAND,FALSE,Fashion Accessories
stone island beanies,$10,image1446.jpg,https://joyagoo.com/product/?shop_type=weidian&id=7321199623&ref=300004734,https://joyagoo.com/product/?shop_type=weidian&id=7321199623&ref=300004734,Accessories,STONE ISLAND,FALSE,Fashion Accessories
"SUPREME X STONE ISLAND SKI MASK
(GLOW IN THE DARK)",$15.60,image1463.jpg,https://joyagoo.com/product/?shop_type=taobao&id=695189963576&ref=300004734,https://joyagoo.com/product/?shop_type=taobao&id=695189963576&ref=300004734,Accessories,STONE ISLAND,FALSE,Uncategorized
CARTIER TRINITY RING,$7,image1451.jpg,https://joyagoo.com/product/?shop_type=weidian&id=7249958006&ref=300004734,https://joyagoo.com/product/?shop_type=weidian&id=7249958006&ref=300004734,Jewelry,Unknown,FALSE,
MORE CARTIER RINGS *VARIOUS*,$8,image1452.jpg,https://joyagoo.com/product/?shop_type=weidian&id=7248918333&ref=300004734,https://joyagoo.com/product/?shop_type=weidian&id=7248918333&ref=300004734,Jewelry,Unknown,FALSE,
CARTIER LOVE BRACELETS,$29,image1448.jpg,https://joyagoo.com/product/?shop_type=weidian&id=7249924290&ref=300004734,https://joyagoo.com/product/?shop_type=weidian&id=7249924290&ref=300004734,Jewelry,Unknown,FALSE,
VARIOUS CHROME HEARTS BRACELETS,$4,image1455.jpg,https://joyagoo.com/product/?shop_type=weidian&id=7248987681&ref=300004734,https://joyagoo.com/product/?shop_type=weidian&id=7248987681&ref=300004734,Jewelry,Chrome Hearts,FALSE,
CARTIER TRINITY BRACELETS,$6,image1456.jpg,https://joyagoo.com/product/?shop_type=weidian&id=7248910229&ref=300004734,https://joyagoo.com/product/?shop_type=weidian&id=7248910229&ref=300004734,Jewelry,Unknown,FALSE,
LV BRACELETS,$5,image1457.jpg,https://joyagoo.com/product/?shop_type=weidian&id=7249981784&ref=300004734,https://joyagoo.com/product/?shop_type=weidian&id=7249981784&ref=300004734,Jewelry,Unknown,FALSE,
CARTIER JUSTE UN CLOU BRACELETS,$19,image1467.jpg,https://joyagoo.com/product/?shop_type=weidian&id=7249888766&ref=300004734,https://joyagoo.com/product/?shop_type=weidian&id=7249888766&ref=300004734,Jewelry,Unknown,FALSE,
MORE LOUIS VUITTON BRACELETS,$18,image1469.jpg,https://joyagoo.com/product/?shop_type=weidian&id=7248890731&ref=300004734,https://joyagoo.com/product/?shop_type=weidian&id=7248890731&ref=300004734,Jewelry,Louis Vuitton,FALSE,
CHROME HEARTS BRACELET,$29,image1466.jpg,https://joyagoo.com/product/?shop_type=weidian&id=7249971868&ref=300004734,https://joyagoo.com/product/?shop_type=weidian&id=7249971868&ref=300004734,Jewelry,Chrome Hearts,FALSE,
VIVIENNE WESTWOOD DOGBONE BRACELET,$8,image1462.jpg,https://joyagoo.com/product/?shop_type=weidian&id=7248926337&ref=300004734,https://joyagoo.com/product/?shop_type=weidian&id=7248926337&ref=300004734,Jewelry,Unknown,FALSE,
BUDGET CHROME HEARTS BRACELETS,$6,image1474.jpg,https://joyagoo.com/product/?shop_type=weidian&id=7248879417&ref=300004734,https://joyagoo.com/product/?shop_type=weidian&id=7248879417&ref=300004734,Jewelry,Chrome Hearts,FALSE,
CHROME HEARTS,$7,image1478.jpg,https://joyagoo.com/product/?shop_type=weidian&id=7249894290&ref=300004734,https://joyagoo.com/product/?shop_type=weidian&id=7249894290&ref=300004734,Jewelry,Chrome Hearts,FALSE,
SWAROVSKI NECKLACE,$8,image1464.jpg,https://joyagoo.com/product/?shop_type=weidian&id=7249878912&ref=300004734,https://joyagoo.com/product/?shop_type=weidian&id=7249878912&ref=300004734,Jewelry,Unknown,FALSE,
SWAROVSKI NECKLACE,$12,image1475.jpg,https://joyagoo.com/product/?shop_type=weidian&id=7248989795&ref=300004734,https://joyagoo.com/product/?shop_type=weidian&id=7248989795&ref=300004734,Jewelry,Unknown,FALSE,
TRAPSTAR DIAMOND CHAIN + PENDANT,$1.82,image1501.jpg,https://joyagoo.com/product/?shop_type=ali_1688&id=743505953997&ref=300004734,https://joyagoo.com/product/?shop_type=ali_1688&id=743505953997&ref=300004734,Jewelry,Trapstar,TRUE,
TRAPSTAR DIAMOND CHAIN + PENDANT,$1.82,image1487.jpg,https://joyagoo.com/product/?shop_type=ali_1688&id=743505953997&ref=300004734,https://joyagoo.com/product/?shop_type=ali_1688&id=743505953997&ref=300004734,Jewelry,Trapstar,FALSE,
CHROMEHEARTS BRACELET,$1.50,image1471.jpg,https://joyagoo.com/product/?shop_type=taobao&id=535661183265&ref=300004734,https://joyagoo.com/product/?shop_type=taobao&id=535661183265&ref=300004734,Jewelry,Unknown,FALSE,
"louis vuitton bracelet
(comes w/ box!)",$13,image1484.jpg,https://joyagoo.com/product/?shop_type=ali_1688&id=692106754620&ref=300004734,https://joyagoo.com/product/?shop_type=ali_1688&id=692106754620&ref=300004734,Jewelry,Louis Vuitton,FALSE,
DIAMOND BRACELET,$7.40,image1511.jpg,https://joyagoo.com/product/?shop_type=taobao&id=705858235929&ref=300004734,https://joyagoo.com/product/?shop_type=taobao&id=705858235929&ref=300004734,Jewelry,Unknown,FALSE,
DIAMOND BRACELET,$7.40,image1482.jpg,https://joyagoo.com/product/?shop_type=taobao&id=705858235929&ref=300004734,https://joyagoo.com/product/?shop_type=taobao&id=705858235929&ref=300004734,Jewelry,Unknown,TRUE,
PRADA,$14,image1480.jpg,https://joyagoo.com/product/?shop_type=weidian&id=7273742007&ref=300004734,https://joyagoo.com/product/?shop_type=weidian&id=7273742007&ref=300004734,Accessories,Prada,FALSE,Uncategorized
"GOYARD BAGS
(ALL COLORWAYS!)",$18,image1486.jpg,https://joyagoo.com/product/?shop_type=weidian&id=7285258206&ref=300004734,https://joyagoo.com/product/?shop_type=weidian&id=7285258206&ref=300004734,Bags & Backpacks,Unknown,FALSE,
LOUIS VUITTON BAG,$7.10,image1566.jpg,https://joyagoo.com/product/?shop_type=ali_1688&id=641473683879&ref=300004734,https://joyagoo.com/product/?shop_type=ali_1688&id=641473683879&ref=300004734,Bags & Backpacks,Louis Vuitton,FALSE,
GUCCI BAG,$11.10,image1497.jpg,https://joyagoo.com/product/?shop_type=weidian&id=7236987390&ref=300004734,https://joyagoo.com/product/?shop_type=weidian&id=7236987390&ref=300004734,Bags & Backpacks,Gucci,FALSE,
GUCCI BAG,$11.10,image1504.jpg,https://joyagoo.com/product/?shop_type=weidian&id=7236987390&ref=300004734,https://joyagoo.com/product/?shop_type=weidian&id=7236987390&ref=300004734,Bags & Backpacks,Gucci,FALSE,
GUCCI BAG,$11.10,image1498.jpg,https://joyagoo.com/product/?shop_type=weidian&id=7236987390&ref=300004734,https://joyagoo.com/product/?shop_type=weidian&id=7236987390&ref=300004734,Bags & Backpacks,Gucci,FALSE,
BAPE DUFFEL BAG,$5.50,image1505.jpg,https://joyagoo.com/product/?shop_type=taobao&id=670444542595&ref=300004734,https://joyagoo.com/product/?shop_type=taobao&id=670444542595&ref=300004734,Bags & Backpacks,BAPE,FALSE,
COACH WALLETS,$12,image1470.jpg,https://joyagoo.com/product/?shop_type=weidian&id=7249909392&ref=300004734,https://joyagoo.com/product/?shop_type=weidian&id=7249909392&ref=300004734,Accessories,Unknown,FALSE,Wallets & Small Accessories
