title,price,image,buyUrl,viewUrl,category,featured
"1:1 AIR FORCE 1
(genuinely 1:1, i have direct contact with factory and can confirm - however price is slightly higher due to legit materials being used:)",$28,image55.jpg,https://joyagoo.com/product/?shop_type=weidian&id=7351045420&ref=300004734,https://joyagoo.com/product/?shop_type=weidian&id=7351045420&ref=300004734,Shoes,FALSE
"1:1 AIR FORCE 1
(same as above!)",$28,image54.jpg,https://joyagoo.com/product/?shop_type=weidian&id=7350070943&ref=300004734,https://joyagoo.com/product/?shop_type=weidian&id=7350070943&ref=300004734,Shoes,FALSE
LJR BEST BATCH (ALL COLORS),$41,image66.jpg,https://joyagoo.com/product/?shop_type=weidian&id=7246279300&ref=300004734,https://joyagoo.com/product/?shop_type=weidian&id=7246279300&ref=300004734,Shoes,FALSE
LOWS BATCH (ALL COLORS),$31,image91.jpg,https://joyagoo.com/product/?shop_type=weidian&id=5361287300&ref=300004734,https://joyagoo.com/product/?shop_type=weidian&id=5361287300&ref=300004734,Shoes,FALSE
BUDGET LOWS,$25,image91.jpg,https://joyagoo.com/product/?shop_type=ali_1688&id=750641022595&ref=300004734,https://joyagoo.com/product/?shop_type=ali_1688&id=750641022595&ref=300004734,Shoes,FALSE
mid batch,$37,image82.jpg,https://joyagoo.com/product/?shop_type=weidian&id=4428977916&ref=300004734,https://joyagoo.com/product/?shop_type=weidian&id=4428977916&ref=300004734,Shoes,FALSE
MID BATCH,$46,image62.jpg,https://joyagoo.com/product/?shop_type=weidian&id=7246355362&ref=300004734,https://joyagoo.com/product/?shop_type=weidian&id=7246355362&ref=300004734,Shoes,FALSE
BEST BATCH (all colors),$60,image87.jpg,https://joyagoo.com/product/?shop_type=weidian&id=4062876978&ref=300004734,https://joyagoo.com/product/?shop_type=weidian&id=4062876978&ref=300004734,Shoes,FALSE
gx batch (WWTOP),$62.50,image57.jpg,https://joyagoo.com/product/?shop_type=weidian&id=5416187188&ref=300004734,https://joyagoo.com/product/?shop_type=weidian&id=5416187188&ref=300004734,Shoes,FALSE
"G batch
(SIMILAR QUALITY TO GX)",$54,image50.jpg,https://joyagoo.com/product/?id=7367308592&shop_type=weidian&ref=300004734,https://joyagoo.com/product/?id=7367308592&shop_type=weidian&ref=300004734,Shoes,TRUE
"BEST BUDGET BATCH
ON joyabuy!",$14.80,image115.jpg,https://joyagoo.com/product/?shop_type=ali_1688&id=738911028437&ref=300004734,https://joyagoo.com/product/?shop_type=ali_1688&id=738911028437&ref=300004734,Shoes,FALSE
kz batch (all colors),$29,image53.jpg,https://joyagoo.com/product/?shop_type=weidian&id=7237848846&ref=300004734,https://joyagoo.com/product/?shop_type=weidian&id=7237848846&ref=300004734,Shoes,FALSE
y3 batch (limited choices),$57,image64.jpg,https://joyagoo.com/product/?shop_type=weidian&id=7246641612&ref=300004734,https://joyagoo.com/product/?shop_type=weidian&id=7246641612&ref=300004734,Shoes,FALSE
