title,price,image,buyUrl,viewUrl,category,brand,featured,subcategory
AKIMBO NY ZIP UP,$44,image179.jpg,https://joyagoo.com/product/?shop_type=weidian&id=7437208982&ref=300004734,https://joyagoo.com/product/?shop_type=weidian&id=7437208982&ref=300004734,Clothing,AKIMBO,False,Hoodies
AKIMBO ERIC EMMANUEL COLLAB,$49,image188.jpg,https://joyagoo.com/product/?shop_type=weidian&id=7437226624&ref=300004734,https://joyagoo.com/product/?shop_type=weidian&id=7437226624&ref=300004734,Clothing,AKIMBO,True,
AKIMBO hoodie camo zip up,$66,image201.jpg,https://joyagoo.com/product/?shop_type=weidian&id=7435400125&ref=300004734,https://joyagoo.com/product/?shop_type=weidian&id=7435400125&ref=300004734,Clothing,AKIMBO,False,Hoodies
AKIMBO hoodie camo,$66,image206.jpg,https://joyagoo.com/product/?shop_type=weidian&id=7437238376&ref=300004734,https://joyagoo.com/product/?shop_type=weidian&id=7437238376&ref=300004734,Clothing,AKIMBO,False,Hoodies
Burberry shorts,$19,image151.png,https://joyagoo.com/product/?shop_type=weidian&id=7437225204&ref=300004734,https://joyagoo.com/product/?shop_type=weidian&id=7437225204&ref=300004734,Clothing,Burberry,False,Shorts
Burberry shorts,$19,image152.png,https://joyagoo.com/product/?shop_type=weidian&id=7436603100&ref=300004734,https://joyagoo.com/product/?shop_type=weidian&id=7436603100&ref=300004734,Clothing,Burberry,False,Shorts
Burberry shorts,$19,image176.png,https://joyagoo.com/product/?shop_type=weidian&id=7437251000&ref=300004734,https://joyagoo.com/product/?shop_type=weidian&id=7437251000&ref=300004734,Clothing,Burberry,False,Shorts
Burberry shorts,$19,image169.png,https://joyagoo.com/product/?shop_type=weidian&id=7435445711&ref=300004734,https://joyagoo.com/product/?shop_type=weidian&id=7435445711&ref=300004734,Clothing,Burberry,False,Shorts
LV beach pants,$19,image154.png,https://joyagoo.com/product/?shop_type=weidian&id=7437313856&ref=300004734,https://joyagoo.com/product/?shop_type=weidian&id=7437313856&ref=300004734,Clothing,Unknown,False,Pants & Jeans
Givenchy Colorful Logo TEE (2-Colorways),$17,image153.jpg,https://joyagoo.com/product/?shop_type=weidian&id=7441031801&ref=300004734,https://joyagoo.com/product/?shop_type=weidian&id=7441031801&ref=300004734,Clothing,Unknown,False,T-Shirts
Givenchy Logo Tee (4-Colorways),$16,image161.jpg,https://joyagoo.com/product/?shop_type=weidian&id=7442911650&ref=300004734,https://joyagoo.com/product/?shop_type=weidian&id=7442911650&ref=300004734,Clothing,Unknown,False,T-Shirts
Dior Small Logo Print Tee,$16,image165.jpg,https://joyagoo.com/product/?shop_type=weidian&id=7440974655&ref=300004734,https://joyagoo.com/product/?shop_type=weidian&id=7440974655&ref=300004734,Clothing,Dior,True,T-Shirts
Amiri Tee (60-Styles),$23,image167.jpg,https://joyagoo.com/product/?shop_type=weidian&id=7441787543&ref=300004734,https://joyagoo.com/product/?shop_type=weidian&id=7441787543&ref=300004734,Clothing,AMI,False,T-Shirts
Burberry Tee,$27,image175.jpg,https://joyagoo.com/product/?shop_type=weidian&id=7441025925&ref=300004734,https://joyagoo.com/product/?shop_type=weidian&id=7441025925&ref=300004734,Clothing,Burberry,False,T-Shirts
Corteiz RTW Jersey,$22,image163.jpg,https://joyagoo.com/product/?shop_type=weidian&id=7442440830&ref=300004734,https://joyagoo.com/product/?shop_type=weidian&id=7442440830&ref=300004734,Clothing,Corteiz,True,Jerseys
Corteiz Stella Jersey (2-Colorways),$23,image171.jpg,https://joyagoo.com/product/?shop_type=weidian&id=7442440830&ref=300004734,https://joyagoo.com/product/?shop_type=weidian&id=7442440830&ref=300004734,Clothing,Corteiz,False,Jerseys
Chicago Bulls Vintage Tee,$36,image160.jpg,https://joyagoo.com/product/?shop_type=weidian&id=7440972781&ref=300004734,https://joyagoo.com/product/?shop_type=weidian&id=7440972781&ref=300004734,Clothing,CHICAGO BULLS,True,T-Shirts
